,city,name,description
44,Raleigh,Raleigh,"Raleigh (; RAH-lee) is the capital of the state of North Carolina and the seat of Wake County in the United States. Raleigh is the second-largest city in the state, after Charlotte. Raleigh is known as the ""City of Oaks"" for its many oak trees, which line the streets in the heart of the city. The city covers a land area of 147.6 square miles (382 km2). The U.S. Census Bureau estimated the city's population as 474,069 as of July 1, 2019. It is one of the fastest-growing cities in the country. The city of Raleigh is named after Walter Raleigh, who established the lost Roanoke Colony in present-day Dare County.
Raleigh is home to North Carolina State University (NCSU) and is part of the Research Triangle together with Durham (home of Duke University and North Carolina Central University) and Chapel Hill (home of the University of North Carolina at Chapel Hill). The name of the Research Triangle (often shortened to the ""Triangle"") originated after the 1959 creation of Research Triangle Park (RTP), located in Durham and Wake counties, among the three cities and their universities. The Triangle encompasses the U.S. Census Bureau's Raleigh-Durham-Chapel Hill Combined Statistical Area (CSA), which had an estimated population of 2,037,430 in 2013. The Raleigh metropolitan statistical area had an estimated population of 1,390,785 in 2019.Most of Raleigh is located within Wake County, with a very small portion extending into Durham County. The towns of Cary, Morrisville, Garner, Clayton, Wake Forest, Apex, Holly Springs, Fuquay-Varina, Knightdale, Wendell, Zebulon, and Rolesville are some of Raleigh's primary nearby suburbs and satellite towns.
Raleigh is an early example in the United States of a planned city. Following the American Revolutionary War when the U.S. gained independence, this was chosen as the site of the state capital in 1788 and incorporated in 1792 as such. The city was originally laid out in a grid pattern with the North Carolina State Capitol in Union Square at the center. During the American Civil War, the city was spared from any significant battle. It fell to the Union in the closing days of the war, and struggled with the economic hardships in the postwar period related to the reconstitution of labor markets, over-reliance on agriculture, and the social unrest of the Reconstruction Era. Following the establishment of the Research Triangle Park (RTP) in 1959, several tens of thousands of jobs were created in the fields of science and technology, and it became one of the fastest-growing communities in the United States by the early 21st century."
45,Louisville,Louisville,"Louisville  ( (listen), US:  (listen) LOO-ə-vəl , locally  (listen)) is the largest city in the Commonwealth of Kentucky and the 29th most-populous city in the United States. It is one of two cities in Kentucky designated as first-class, the other being Lexington, the state's second-largest city. Louisville is the historical seat and, since 2003, the nominal seat of Jefferson County, on the Indiana border.
Named after King Louis XVI of France, Louisville was founded in 1778 by George Rogers Clark, making it one of the oldest cities west of the Appalachians. With nearby Falls of the Ohio as the only major obstruction to river traffic between the upper Ohio River and the Gulf of Mexico, the settlement first grew as a portage site. It was the founding city of the Louisville and Nashville Railroad, which grew into a 6,000-mile (9,700 km) system across 13 states.
Today, the city is known as the home of legendary boxer Muhammad Ali, the Kentucky Derby, Kentucky Fried Chicken (KFC), the University of Louisville and its Cardinals, Louisville Slugger baseball bats, and three of Kentucky's six Fortune 500 companies: Humana, Kindred Healthcare, and Yum! Brands. Muhammad Ali International Airport, Louisville's main commercial airport, hosts UPS's worldwide hub.
Since 2003, Louisville's borders have been the same as those of Jefferson County, after a city-county merger. The official name of this consolidated city-county government is the Louisville/Jefferson County Metro Government, abbreviated to Louisville Metro. Despite the merger and renaming, the term ""Jefferson County"" continues to be used in some contexts in reference to Louisville Metro, particularly including the incorporated cities outside the ""balance"" which make up Louisville proper. The city's total consolidated population as of the 2019 census estimate was 766,757. However, the balance total of 617,638 excludes other incorporated places and semiautonomous towns within the county and is the population listed in most sources and national rankings.
The Louisville-Jefferson County, KY-IN Metropolitan Statistical Area (MSA) includes Louisville-Jefferson County and 12 surrounding counties, seven in Kentucky and five in Southern Indiana. As of 2019, the MSA had a population of 1,265,108, ranking 46th nationally."
46,Oklahoma City,Oklahoma City,"Oklahoma City ( (listen)), officially the City of Oklahoma City, and often shortened to OKC, is the capital and largest city of the U.S. state of Oklahoma. The county seat of Oklahoma County, it ranks 25th among United States cities in population, and is the 11th largest city in the South. The population grew following the 2010 census and is estimated to have reached 655,057 as of July 2019. The Oklahoma City metropolitan area had a population of 1,396,445, and the Oklahoma City–Shawnee Combined Statistical Area had a population of 1,469,124, making it Oklahoma's largest municipality and metropolitan area by population.
Oklahoma City's city limits extend somewhat into Canadian, Cleveland, and Pottawatomie counties, though much of those areas outside the core Oklahoma County area are suburban tracts or protected rural zones (watershed). The city is the eighth-largest in the United States by area including consolidated city-counties; it is the second-largest, after Houston, not including consolidated cities.
Lying in the Great Plains region, Oklahoma City has one of the world's largest livestock markets. Oil, natural gas, petroleum products and related industries are its economy's largest sector. The city is in the middle of an active oil field and oil derricks dot the capitol grounds. The federal government employs a large number of workers at Tinker Air Force Base and the United States Department of Transportation's Mike Monroney Aeronautical Center (which house offices of the Federal Aviation Administration and the Transportation Department's Enterprise Service Center, respectively).
Oklahoma City is on the I-35 Corridor, one of the primary travel corridors south into neighboring Texas and Mexico and north towards Wichita and Kansas City. Located in the state's Frontier Country region, the city's northeast section lies in an ecological region known as the Cross Timbers. The city was founded during the Land Run of 1889 and grew to a population of over 10,000 within hours of its founding. It was the scene of the April 19, 1995, bombing of the Alfred P. Murrah Federal Building, in which 168 people died, the deadliest terror attack in U.S. history until the attacks of September 11, 2001, and the deadliest act of domestic terrorism in U.S. history.
Since weather records have been kept, Oklahoma City has been struck by 13 violent tornadoes, 11 of which were rated F4 or EF4 on the Fujita and Enhanced Fujita scales, and two F5 or EF5.

"
47,Bridgeport,Bridgeport,"Bridgeport is a historic seaport city in the U.S. state of Connecticut, and its largest city. With a census-estimated population of 144,399 in 2019, it is also the fifth-most populous in New England. Located in Fairfield County at the mouth of the Pequonnock River on Long Island Sound, it is 60 miles (97 km) from Manhattan and 40 miles (64 km) from The Bronx. It is bordered by the towns of Trumbull to the north, Fairfield to the west, and Stratford to the east. Bridgeport and other settlements in Fairfield County make up the Bridgeport-Stamford-Norwalk-Danbury metropolitan statistical area, the second largest metropolitan area in Connecticut. The Bridgeport-Stamford-Norwalk-Danbury metropolis forms part of the New York megacity.
Showman P. T. Barnum was a resident of the city and served as the town's mayor in the late 19th century. Barnum built four houses in Bridgeport and housed his circus in town during winter. The first Subway restaurant opened in Bridgeport's North End in 1965. The Frisbie Pie Company was founded in Bridgeport, and the city is credited as the birthplace of the Frisbee. After World War II, industrial restructuring and suburbanization caused the loss of many jobs and affluent residents, leaving Bridgeport struggling with poverty and violent crime. Since the beginning of the 21st century, Bridgeport has begun redevelopment of its downtown and other neighborhoods."
48,Buffalo,"Buffalo, New York","Buffalo is the second-largest city in the U.S. state of New York and the largest city in Western New York. As of 2019's census estimates, the city proper population was 255,284. The city is the county seat of Erie County and serves as a major gateway for commerce and travel across the Canadian border, forming part of the bi-national Buffalo Niagara Region and Buffalo–Niagara Falls metropolitan area. As of 2018, the Buffalo-Niagara Falls metropolitan area had a population of 1,130,152; the combined statistical area, which adds Cattaraugus County, had a population of 1,215,826.
The Buffalo area was inhabited before the 17th century by the Native American Iroquois tribe and later by French colonizers. The city grew significantly in the 19th and 20th centuries as a result of immigration, the construction of the Erie Canal and rail transportation, and its close proximity to Lake Erie. This growth provided an abundance of fresh water and an ample trade route to the Midwestern United States while grooming its economy for the grain, steel and automobile industries that dominated the city's economy in the 20th century. Since the city's economy relied heavily on manufacturing, deindustrialization in the latter half of the 20th century led to a steady decline in population. While some manufacturing activity remained following the Great Recession, Buffalo's economy has transitioned to service industries with a greater emphasis on healthcare, research and higher education including being home to a top research university, the University at Buffalo.
Buffalo is on the eastern shore of Lake Erie, at the head of the Niagara River, 16 miles (26 km) south of Niagara Falls. Its early embrace of electric power led to the nickname ""The City of Light."" The city is also famous for its urban planning and layout by Joseph Ellicott, an extensive system of parks designed by Frederick Law Olmsted, as well as significant architectural works. Its culture blends Northeastern and Midwestern traditions, with annual festivals including Taste of Buffalo and Allentown Art Festival, two professional sports teams and a Division I college team (Buffalo Bills, Buffalo Sabres and Buffalo Bulls) and a thriving and progressive music and arts scene."
49,Hartford,Hartford,"Hartford is the capital city of the U.S. state of Connecticut. It was the seat of Hartford County until Connecticut disbanded county government in 1960. It is the core city in the Greater Hartford metropolitan area. Census estimates since the 2010 United States Census have indicated that Hartford is the fourth-largest city in Connecticut, behind the coastal cities of Bridgeport, New Haven, and Stamford.Hartford was founded in 1635 and is among the oldest cities in the United States. It is home to the country's oldest public art museum (Wadsworth Atheneum), the oldest publicly funded park (Bushnell Park), the oldest continuously published newspaper (the Hartford Courant), and the second-oldest secondary school (Hartford Public High School). It is also home to the Mark Twain House, where the author wrote his most famous works and raised his family, among other historically significant sites. Mark Twain wrote in 1868, ""Of all the beautiful towns it has been my fortune to see this is the chief.""
Hartford was the richest city in the United States for several decades following the American Civil War. Today, it is one of the poorest cities in the U.S., with 3 out of every 10 families living below the poverty threshold. In sharp contrast, the Greater Hartford metropolitan statistical area was ranked 32nd of 318 metropolitan areas in total economic production and 8th out of 280 metropolitan statistical areas in per capita income in 2015.Nicknamed the ""Insurance Capital of the World"", Hartford holds high sufficiency as a global city, as home to the headquarters of many insurance companies, the region's major industry. Other prominent industries include the services, education and healthcare industries. Hartford coordinates certain Hartford-Springfield regional development matters through the Knowledge Corridor Economic Partnership."
50,Fort Worth,Fort Worth,"Fort Worth is the fifth-largest city in the U.S. state of Texas and the 13th-largest city in the United States. It is the county seat of Tarrant County, covering nearly 350 square miles (910 km2) into three other counties: Denton, Parker, and Wise. According to the 2019 census estimates, Fort Worth's population was 909,585. Fort Worth is the second-largest city in the Dallas–Fort Worth–Arlington metropolitan area, which is the fourth-most populous metropolitan area in the United States.The city of Fort Worth was established in 1849 as an army outpost on a bluff overlooking the Trinity River. Fort Worth has historically been a center of the Texas Longhorn cattle trade. It still embraces its Western heritage and traditional architecture and design. USS Fort Worth (LCS-3) is the first ship of the United States Navy named after the city. Although considered by some to be a satellite city due to its proximity to Dallas, which has held a population majority since the 1950s, Fort Worth has become one of the fastest-growing cities in the United States in recent years, particularly in the 21st century, and has more than doubled its population since 2000.
Fort Worth is home to the Van Cliburn International Piano Competition and several world-class museums designed by internationally known contemporary architects. The Kimbell Art Museum, considered to have one of the best art collections in Texas, is housed in what is widely regarded as one of the outstanding architectural achievements of the modern era. The museum was designed by American architect Louis Kahn, with an addition designed by world-renowned Italian architect Renzo Piano opening November 2013. Also of note is the Modern Art Museum of Fort Worth, designed by Tadao Ando. The Amon Carter Museum of American Art, designed by Philip Johnson, houses one of the world's most extensive collections of American art. The Sid Richardson Museum, redesigned by David M. Schwarz, has one of the most focused collections of Western art in the U.S., emphasizing Frederic Remington and Charles Russell. The Fort Worth Museum of Science and History, designed by famed architect Ricardo Legorreta of Mexico, engages the diverse Fort Worth community through creative, vibrant programs and exhibits.
Fort Worth is the location of several university communities: Texas Christian University, Texas Wesleyan, University of North Texas Health Science Center, and Texas A&M University School of Law. Many multinational corporations, including Bell Textron, Lockheed Martin, American Airlines, BNSF Railway, Pier 1 Imports, Chip 1 Exchange, and RadioShack are headquartered in Fort Worth."
51,Tucson,Tucson,"Tucson (; Spanish: Tucsón; O'odham: Cuk-Ṣon; Navajo: Tó Oostsʼąʼ) is a city in and the county seat of Pima County, Arizona, United States, and is home to the University of Arizona. It is the second largest city in Arizona, with a population of 520,116 in the 2010 United States Census, while the 2015 estimated population of the entire Tucson metropolitan statistical area (MSA) was 980,263. The Tucson MSA forms part of the larger Tucson-Nogales combined statistical area (CSA), with a total population of 1,010,025 as of the 2010 Census. Tucson is the second most-populated city in Arizona behind Phoenix, both of which anchor the Arizona Sun Corridor. The city is 108 miles (174 km) southeast of Phoenix and 60 mi (97 km) north of the U.S.–Mexico border. Tucson is the 33rd largest city and the 58th largest metropolitan area in the United States (2014).
Major incorporated suburbs of Tucson include Oro Valley and Marana northwest of the city, Sahuarita south of the city, and South Tucson in an enclave south of downtown. Communities in the vicinity of Tucson (some within or overlapping the city limits) include Casas Adobes, Catalina Foothills, Flowing Wells, Midvale Park, Tanque Verde, Tortolita, and Vail. Towns outside the Tucson metro area include Benson to the southeast, Catalina and Oracle to the north, and Green Valley to the south.
Tucson was founded as a military fort by the Spanish when Hugo O'Conor authorized the construction of Presidio San Agustín del Tucsón in 1775. It was included in the state of Sonora after Mexico gained independence from the Spanish Empire in 1821. In 1853, the United States acquired a 29,670 square miles (76,840 km2) region of present-day southern Arizona and southwestern New Mexico from Mexico under the Gadsden Purchase. Tucson served as the capital of the Arizona Territory from 1867 to 1877. Tucson was Arizona's largest city by population during the territorial period and early statehood, until it was surpassed by Phoenix by 1920. Nevertheless, population growth remained strong during the late 20th century. In 2017, Tucson was the first American city to be designated a ""City of Gastronomy"" by UNESCO.The Spanish name of the city, Tucsón [tukˈson], is derived from the O'odham Cuk Ṣon [tʃʊk ʂɔːn], meaning ""(at the) base of the black [hill]"", a reference to a basalt-covered hill now known as Sentinel Peak. Tucson is sometimes referred to as ""The Old Pueblo""."
52,El Paso,"El Paso, Texas","El Paso (; Spanish: [el ˈpaso] ""the pass"") is a city and the county seat of El Paso County, Texas, United States, in the far western part of the state. The 2019 population estimate for the city from the U.S. Census was 681,728, making it the 22nd-largest city in the United States, the sixth-largest city in Texas, and the second-largest city in the Southwest behind Phoenix, Arizona. Its metropolitan statistical area covers all of El Paso and Hudspeth Counties in Texas, and has a population of 840,758.El Paso stands on the Rio Grande across the Mexico–United States border from Ciudad Juárez, the most-populous city in the Mexican state of Chihuahua with 1.4 million people. Las Cruces, in the neighboring U.S. state of New Mexico, has a population of 215,579. On the U.S. side, the El Paso metropolitan area forms part of the larger El Paso-Las Cruces combined statistical area, with a population of 1,060,397.These three cities form a combined international metropolitan area sometimes referred to as the Paso del Norte or the Borderplex. The region of 2.5 million people constitutes the largest bilingual and binational work force in the Western Hemisphere.The city is home to three publicly traded companies, and former Western Refining, now Marathon Petroleum, as well as home to the Medical Center of the Americas, the only medical research and care provider complex in West Texas and Southern New Mexico, and the University of Texas at El Paso, the city's primary university. The city hosts the annual Sun Bowl college football postseason game, the second-oldest bowl game in the country.El Paso has a strong federal and military presence. William Beaumont Army Medical Center, Biggs Army Airfield, and Fort Bliss are located in the area. Fort Bliss is one of the largest military complexes of the United States Army and the second largest training area in the United States behind nearby White Sands Missle Range. The fort is headquartered in El Paso but a large part of the training area is in New Mexico.  Also headquartered in El Paso are the Drug Enforcement Administration domestic field division 7, El Paso Intelligence Center, Joint Task Force North, United States Border Patrol El Paso Sector, and  U.S. Border Patrol Special Operations Group.
In 2010 and 2018, El Paso received an All-America City Award. El Paso ranked in the top-three safest large cities in the United States between 1997 and 2014, including holding the title of safest city between 2011 and 2014."
53,Honolulu,Honolulu,"Honolulu (; Hawaiian: [honoˈlulu]) is the capital and largest city of the U.S. state of Hawaii. It is an unincorporated part of and the county seat of the City and County of Honolulu along the southeast coast of the island of Oʻahu. The city is the main gateway to Hawaiʻi and a major portal into the United States. The city is also a major hub for international business and military defense, as well as being host to a diverse variety of east–west and Pacific cultures, cuisine, and traditions.
Honolulu is the westernmost and southernmost major U.S. city. For statistical purposes, the United States Census Bureau recognizes the approximate area commonly referred to as ""City of Honolulu"" (not to be confused with the ""City and County"") as a census county division (CCD). Honolulu is a major financial center of the islands and of the Pacific Ocean. The population of the Honolulu census designated place (CDP) was 345,064 as of the 2019 population estimate, while the Honolulu CCD was 390,738.Honolulu means ""sheltered harbor"" or ""calm port"" in Hawaiian. The old name is Kou, a district roughly encompassing the area from Nuʻuanu Avenue to Alakea Street and from Hotel Street to Queen Street which is the heart of the present downtown district. The city has been the capital of the Hawaiian Islands since 1845 and gained historical recognition following the attack on Pearl Harbor by Japan near the city on December 7, 1941.
As of 2015, Honolulu was ranked high on world livability rankings, and was also ranked as the 2nd safest city in the U.S. It is also the most populated Oceanian city outside Australasia and ranks second to Auckland as the most-populous city in Polynesia."
54,Omaha,Omaha,"Omaha ( OH-mə-hah) is the largest city in the U.S. state of Nebraska and the county seat of Douglas County. Omaha is in the Midwestern United States on the Missouri River, about 10 miles (15 km) north of the mouth of the Platte River. The nation's 40th-largest city, Omaha's 2019 estimated population was 478,192.
Omaha is the anchor of the eight-county, bi-state Omaha-Council Bluffs metropolitan area. The Omaha Metropolitan Area is the 59th largest in the United States, with an estimated population of 944,316 (2018). The Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area (CSA) encompasses the Omaha-Council Bluffs MSA as well as the separate Fremont, NE Micropolitan Statistical Area, which consists of the entirety of Dodge County, Nebraska. The total population of the CSA was 970,023 based on 2017 estimates. Approximately 1.3 million people reside within the Greater Omaha area, within a 50 mi (80 km) radius of Downtown Omaha.
Omaha's pioneer period began in 1854, when the city was founded by speculators from neighboring Council Bluffs, Iowa. The city was founded along the Missouri River, and a crossing called Lone Tree Ferry earned the city its nickname, the ""Gateway to the West"". Omaha introduced this new West to the world in 1898, when it played host to the World's Fair, dubbed the Trans-Mississippi Exposition. During the 19th century, Omaha's central location in the United States spurred the city to become an important national transportation hub. Throughout the rest of the 19th century, the transportation and jobbing sectors were important in the city, along with its railroads and breweries. In the 20th century, the Omaha Stockyards, once the world's largest, and its meatpacking plants gained international prominence.
Today, Omaha is the home to the headquarters of four Fortune 500 companies: mega-conglomerate Berkshire Hathaway; one of the world's largest construction companies, Kiewit Corporation; insurance and financial firm Mutual of Omaha; and the United States' largest railroad operator, Union Pacific Corporation. Berkshire Hathaway is headed by local investor Warren Buffett, one of the wealthiest people in the world, according to a decade's worth of Forbes rankings, some of which have ranked him as high as No. 1.Omaha is also the home to five Fortune 1000 headquarters: Green Plains Renewable Energy, TD Ameritrade, Valmont Industries, Werner Enterprises, and West Corporation. Also headquartered in Omaha are the following: First National Bank of Omaha, the largest privately held bank in the United States; three of the nation's ten largest architecture/engineering firms (DLR Group, HDR, Inc., and Leo A Daly); and the Gallup Organization, of Gallup Poll fame, and its riverfront Gallup University.
Notable modern Omaha inventions include the following: the ""pink hair curler"" created at Omaha's Tip Top Products; Butter Brickle Ice Cream, and the Reuben sandwich, conceived by a chef at the then–Blackstone Hotel on 36th and Farnam Streets; cake mix, developed by Duncan Hines, then a division of Omaha's Nebraska Consolidated Mills, the forerunner to today's ConAgra Foods; center-pivot irrigation by the Omaha company now known as Valmont Corporation; Raisin Bran, developed by Omaha's Skinner Macaroni Co.; the first ski lift in the U.S., in 1936, by Omaha's Union Pacific Corp.; the Top 40 radio format, pioneered by Todd Storz, scion of Omaha's Storz Brewing Co. and head of Storz Broadcasting, and first used in the U.S. at Omaha's KOWH Radio; and the TV dinner, developed by Omaha's Carl A. Swanson."
55,McAllen,McAllen,"McAllen is the largest city in Hidalgo County, Texas, United States, and the 22nd-most populous city in Texas. It is located at the southern tip of the state in the Rio Grande Valley, close to the country of Mexico. The city limits extend south to the Rio Grande, across from the Mexican city of Reynosa. McAllen is about 70 mi (110 km) west of the Gulf of Mexico. As of 2019, McAllen's population was estimated to be 143,268. It is the fifth-most populous metropolitan area (McAllen–Edinburg–Mission) in the state of Texas, and the binational Reynosa–McAllen metropolitan area counts a population of nearly 1.52 million.From its settlement in 1904, the area around McAllen was largely rural and agricultural in character, but the latter half of the 20th century had steady growth, which has continued in the 21st century in the metropolitan area. The introduction of the maquiladora economy and the North American Free Trade Association led to an increase in cross-border trading with Mexico.

"
56,Albuquerque,Albuquerque,"Albuquerque ( (listen) AL-bə-kur-kee, Spanish: [alβuˈkeɾke]), abbreviated as ABQ, is the most populous city in the U.S. state of New Mexico. The city's nicknames are The Duke City and Burque, both of which reference its 1706 founding by Nuevo México governor Francisco Cuervo y Valdés as La Villa de Alburquerque. Named in honor of then Viceroy the 10th Duke of Alburquerque, the Villa was an outpost on El Camino Real for the Tiquex and Hispano towns in the area (such as Barelas, Corrales, Isleta Pueblo, Los Ranchos, and Sandia Pueblo). Since the city's founding it has continued to be included on travel and trade routes including Santa Fe Railway (ATSF), Route 66, Interstate 25, Interstate 40, and the Albuquerque International Sunport. The 2019 census-estimated population of the city is 560,513, making Albuquerque the 32nd-most populous city in the United States and the fourth-largest in the Southwest. It is the principal city of the Albuquerque metropolitan area, which had 915,927 residents as of July 2018. The metropolitan population includes Rio Rancho, Bernalillo, Placitas, Zia Pueblo, Los Lunas, Belen, South Valley, Bosque Farms, Jemez Pueblo, Cuba, and part of Laguna Pueblo. This metro is included in the larger Albuquerque–Santa Fe–Las Vegas combined statistical area (CSA), with a population of 1,171,991 as of 2016. The CSA constitutes the southernmost point of the Southern Rocky Mountain Front megalopolis, including other major Rocky Mountain region cities such as Cheyenne, Wyoming, and Denver, Colorado, with a population of 5,467,633 according to the 2010 United States Census.
Albuquerque serves as the county seat of Bernalillo County, and is in north-central New Mexico. The Sandia Mountains run along the eastern side of Albuquerque, and the Rio Grande flows north to south through its center, while the West Mesa and Petroglyph National Monument make up the western part of the city. Albuquerque has one of the highest elevations of any major city in the U.S., ranging from 4,900 feet (1,490 m) above sea level near the Rio Grande to over 6,700 feet (1,950 m) in the foothill areas of Sandia Heights and Glenwood Hills. The civic apex is found in an undeveloped area within the Albuquerque Open Space; there, the terrain rises to an elevation of approximately 6880+ feet (2,097 m).
The economy of Albuquerque centers on science, medicine, technology, commerce, education, entertainment, and culture outlets. The city is home to Kirtland Air Force Base, Sandia National Laboratories, Lovelace Respiratory Research Institute, Presbyterian Health Services, and both the University of New Mexico and Central New Mexico Community College have their main campuses in the city. Albuquerque is the center of the New Mexico Technology Corridor, a concentration of high-tech institutions, including the metropolitan area being the location of Intel's Fab 11X In Rio Rancho and a Facebook Data Center in Los Lunas, Albuquerque was also the founding location of MITS and Microsoft. Film studios have a major presence in the state of New Mexico, for example Netflix has a main production hub at Albuquerque Studios. There are numerous shopping centers and malls within the city, including ABQ Uptown, Coronado, Cottonwood, Nob Hill, and Winrock. The city is the location of a horse racing track and casino called The Downs Casino and Racetrack, and the Pueblos surrounding the city feature resort casinos, including Sandia Resort, Santa Ana Star, Isleta Resort, and Laguna Pueblo's Route 66 Resort.
The city hosts the International Balloon Fiesta, the world's largest gathering of hot-air balloons, taking place every October at a venue referred to as Balloon Fiesta Park, with its 47-acre launch field. Another large venue is Expo New Mexico where other annual events are held, such as North America's largest pow wow at the Gathering of Nations, as well as the New Mexico State Fair. While other major venues throughout the metropolitan area include the National Hispanic Cultural Center, the University of New Mexico's Popejoy Hall, Santa Ana Star Center, and Isleta Amphitheater. Old Town Albuquerque's Plaza, Hotel, and San Felipe de Neri Church hosts traditional fiestas and events such as weddings, also near Old Town are the New Mexico Museum of Natural History and Science, Albuquerque Museum of Art and History, Indian Pueblo Cultural Center, Explora, and Albuquerque Biological Park. Located in Downtown Albuquerque are historic theaters such as the KiMo Theater, and near the Civic Plaza is the Al Hurricane Pavilion and Albuquerque Convention Center with its Kiva Auditorium. Due to its population size, the metropolitan area regularly receives most national and international music concerts, Broadway shows, and other large traveling events, as well as New Mexico music, and other local music performances.
Likewise, due to the metropolitan size, it is home to a diverse restaurant scene from various global cuisines, and the state's distinct New Mexican cuisine. Being the focus of the Middle Rio Grande Conservancy District gives an agricultural contrast, along acequias, to the otherwise heavily urban setting of the city. Crops such as New Mexico chile are grown along the entire Rio Grande, the red or green chile pepper is a staple of the aforementioned New Mexican cuisine. The Albuquerque metro is a major contributor of the Middle Rio Grande Valley AVA with New Mexico wine produced at several vineyards, it is also home to several New Mexican breweries. The river also provides trade access with the Mesilla Valley (containing Las Cruces, New Mexico and El Paso, Texas) region to the south, with its Mesilla Valley AVA and the adjacent Hatch Valley which is well known for its New Mexico chile peppers.

"
57,Birmingham,Birmingham,"Birmingham ( (listen) BUR-ming-əm) is a city and metropolitan borough in the West Midlands, England. It is the second-largest city, urban area and metropolitan area in England and the United Kingdom, with roughly 1.1 million inhabitants within the city area, 2.9 million inhabitants within the urban area and 4.3 million inhabitants within the metropolitan area and lies within the most populated English district. Birmingham is commonly referred to as the second city of the United Kingdom.Located in the West Midlands county and region in England, approximately 100 miles (160 km) from Central London, Birmingham, as one of the United Kingdom's major cities, is considered to be the social, cultural, financial, and commercial centre of both the East and West Midlands. Distinctively, Birmingham only has small rivers flowing through it, mainly the River Tame and its tributaries River Rea and River Cole – one of the closest main rivers is the Severn, approximately 20 miles (32 km) west of the city centre.
A market town of Warwickshire in the medieval period, Birmingham grew in the 18th-century Midlands Enlightenment and subsequent Industrial Revolution, which saw advances in science, technology, and economic development, producing a series of innovations that laid many of the foundations of modern industrial society. By 1791, it was being hailed as ""the first manufacturing town in the world"". Birmingham's distinctive economic profile, with thousands of small workshops practising a wide variety of specialised and highly skilled trades, encouraged exceptional levels of creativity and innovation and provided an economic base for prosperity that was to last into the final quarter of the 20th century. The Watt steam engine was invented in Birmingham.The resulting high level of social mobility also fostered a culture of political radicalism which, under leaders from Thomas Attwood to Joseph Chamberlain, was to give it a political influence unparalleled in Britain outside London, and a pivotal role in the development of British democracy. From the summer of 1940 to the spring of 1943, Birmingham was bombed heavily by the German Luftwaffe in what is known as the Birmingham Blitz. The damage done to the city's infrastructure, in addition to a deliberate policy of demolition and new building by planners, led to extensive urban regeneration in subsequent decades.
Birmingham's economy is now dominated by the service sector. The city is a major international commercial centre and an important transport, retail, events and conference hub. Its metropolitan economy is the second largest in the United Kingdom with a GDP of $121.1bn (2014), and its six universities make it the largest centre of higher education in the country outside London. Birmingham's major cultural institutions – the City of Birmingham Symphony Orchestra, the Birmingham Royal Ballet, the Birmingham Repertory Theatre, the Library of Birmingham and the Barber Institute of Fine Arts – enjoy international reputations, and the city has vibrant and influential grassroots art, music, literary and culinary scenes. The city will host the 2022 Commonwealth Games. Birmingham is the fourth-most visited city in the UK by foreign visitors.

"
58,Dayton,Dayton,"Dayton () is the sixth-largest city in the state of Ohio and the county seat of Montgomery County. A small part of the city extends into Greene County. The 2019 U.S. census estimate put the city population at 140,407, while Greater Dayton was estimated to be at 803,416 residents. This makes Dayton the fourth-largest metropolitan area in Ohio and 63rd in the United States. Dayton is within Ohio's Miami Valley region, just north of Greater Cincinnati.
Ohio's borders are within 500 miles (800 km) of roughly 60 percent of the country's population and manufacturing infrastructure, making the Dayton area a logistical centroid for manufacturers, suppliers, and shippers. Dayton also hosts significant research and development in fields like industrial, aeronautical, and astronautical engineering that have led to many technological innovations. Much of this innovation is due in part to Wright-Patterson Air Force Base and its place in the community. With the decline of heavy manufacturing, Dayton's businesses have diversified into a service economy that includes insurance and legal sectors as well as healthcare and government sectors.
Along with defense and aerospace, healthcare accounts for much of the Dayton area's economy. Hospitals in the Greater Dayton area have an estimated combined employment of nearly 32,000 and a yearly economic impact of $6.8 billion. It is estimated that Premier Health Partners, a hospital network, contributes more than $2 billion a year to the region through operating, employment, and capital expenditures. In 2011, Dayton was rated the #3 city in the nation by HealthGrades for excellence in healthcare.Dayton is also noted for its association with aviation; the city is home to the National Museum of the United States Air Force and is the birthplace of Orville Wright. Other well-known individuals born in the city include poet Paul Laurence Dunbar and entrepreneur John H. Patterson. Dayton is also known for its many patents, inventions, and inventors, most notably the Wright brothers' invention of powered flight. In 2007 Dayton was a part of the top 100 cities in America. In 2008, 2009, and 2010, Site Selection magazine ranked Dayton the #1 mid-sized metropolitan area in the nation for economic development. Also in 2010, Dayton was named one of the best places in the United States for college graduates to find a job.On Memorial Day of 2019 Dayton was affected by a tornado outbreak, in which a total of 15 tornadoes touched down in the Dayton area. One was a half-mile wide EF4 that tore through the heart of the city causing damage."
